年齢など,,本人の収入,,,,家族の収入,,,,その他,,,使う予定のお金,,,,,,,,,,,,3区分キャッシュフロー,,,,,,,,,毎年の収支,,,,,貯金の合計,,,
西暦,年齢,お給料,年金など,個人年金等,iDeCo等,お給料,年金など,個人年金等,iDeCo等,資金調達合計,児童手当,経常収入合計,基本生活費,火災保険等,学費など,車の買替等,趣味・他,趣味・他,家族関連,家ローン,将来の積立,保険料,税金・社保,支出合計,経常収入,経常支出,経常収支,臨時収入,臨時支出,臨時収支,資金調達(取崩),資金調達(移管),最終純増減,年間の残金,不定期な出費,実質の貯蓄,満期保険等,保険解約金,ふだん使い,予備のお金,運用の資金,その年の残高
2037,51,975.4471165292766,0,0,0,135.9562519723263,0,0,0,0,24,1135.403368501603,273.1423873039895,16.902375451979548,157.07142857142858,430,42,52.8,43.2,167.83783829402776,73.2,6,307.70089069051795,1569.8549203119433,1135.403368501603,1569.8549203119433,-434.45155181034033,0,0,0,0,0,-434.45155181034033,-434.45155181034033,0,-434.45155181034033,0,0,2664.4815089360723,1083.920798248285,1541.0519794461607,5289.454286630518
2038,52,981.3174757188058,0,0,0,137.1798582400772,0,0,0,0,24,1142.497333958883,275.87381117702944,17.071399206499343,190.3253968253968,50,42,52.8,33.6,167.83783829402714,73.2,6,310.19616793193387,1218.9046134348866,1142.497333958883,1218.9046134348866,-76.40727947600362,0,0,0,0,0,-76.40727947600362,-76.40727947600362,0,-76.40727947600362,0,0,2588.0742294600686,1176.4384221957337,1600.4835388295455,5364.996190485348
2039,53,986.0888676685938,0,0,0,138.4144769642379,0,0,0,0,24,1148.5033446328316,278.63254928879974,17.24211319856434,261.78571428571433,50,42,52.8,33.6,167.83783829402643,73.2,6,312.2841300435281,1295.382345110633,1148.5033446328316,1295.382345110633,-146.87900047780136,0,0,0,0,0,-146.87900047780136,-146.87900047780136,0,-146.87900047780136,0,0,2441.1952289822675,1271.7315748616056,1661.698044994432,5374.624848838305
2040,54,989,0,0,0,139.660207256916,0,0,0,0,12,1140.660207256916,295.3505022461277,17.41453433054998,400.9920634920635,50,42,52.8,33.6,167.83783829402557,73.2,6,313.714511159319,1452.9094495220859,1140.660207256916,1452.9094495220859,-312.24924226516987,0,0,0,0,0,-312.24924226516987,-312.24924226516987,0,-312.24924226516987,0,0,2128.9459867170976,1369.8835221074537,1724.748986344265,5223.5784951688165
2041,55,989,0,0,0,140.91714912222827,0,0,0,0,12,1141.9171491222282,298.30400726858903,17.58867967385548,367.73809523809524,50,42,52.8,33.6,167.8378382940248,73.2,6,313.94204018019286,1423.0106606547574,1141.9171491222282,1423.0106606547574,-281.0935115325292,0,0,0,0,0,-281.0935115325292,-281.0935115325292,0,-281.0935115325292,0,0,1847.8524751845684,1470.9800277706772,1789.691455934593,5108.5239588898385
2042,56,989,0,0,0,142.18540346432832,0,0,0,0,12,1143.1854034643284,301.28704734127484,17.764566470594033,367.73809523809524,65,42,52.8,33.6,167.837838294024,73.2,6,314.32340922225455,1441.5509565662426,1143.1854034643284,1441.5509565662426,-298.3655531019142,0,0,0,0,0,-298.3655531019142,-298.3655531019142,0,-298.3655531019142,0,0,1549.4869220826542,1575.1094286037976,1856.5821996126308,4981.178550299082
2043,57,984.055,0,0,0,143.46507209550725,0,0,0,0,12,1139.5200720955072,304.2999178146876,17.942212135299975,434.24603174603175,50,42,52.8,33.6,167.8378382940232,73.2,6,312.93708705105485,1494.8630870410975,1139.5200720955072,1494.8630870410975,-355.3430149455903,0,0,0,0,0,-355.3430149455903,-355.3430149455903,0,-355.3430149455903,0,0,1194.143907137064,1682.3627114619114,1925.4796656010099,4801.986284199986
2044,58,979.134725,0,0,0,144.7562577443668,0,0,0,0,0,1123.8909827443667,307.3429169928345,18.121634256652975,249.40476190476193,50,42,52.8,33.6,167.8378382940222,73.2,6,311.51296810063457,1311.820119548906,1123.8909827443667,1311.820119548906,-187.9291368045392,0,0,0,0,0,-187.9291368045392,-187.9291368045392,0,-187.9291368045392,0,0,1006.2147703325247,1792.8335928057688,1996.4440555690403,4795.492418707334
2045,59,974.239051375,0,0,0,146.0590640640661,0,0,0,0,0,1120.2981154390661,310.41634616276286,18.302850599219507,249.40476190476193,50,42,52.8,33.6,167.83783829402137,73.2,6,310.07065205090436,1313.6324490116701,1120.2981154390661,1313.6324490116701,-193.334333572604,0,0,0,0,0,-193.334333572604,-193.334333572604,0,-193.334333572604,0,0,812.8804367599207,1906.618600589942,2069.5373772361113,4789.036414585974
2046,60,1450,0,0,0,147.37359564064263,0,0,0,0,0,1597.3735956406426,313.5205096243905,18.4858791052117,249.40476190476193,50,42,52.8,33.6,167.83783829402026,73.2,6,126.67680293639413,1133.5257918647785,1597.3735956406426,1133.5257918647785,463.8478037758641,0,0,0,0,0,463.8478037758641,463.8478037758641,0,463.8478037758641,0,0,1276.7282405357848,2023.8171586076403,2144.8234985531944,5445.36889769662
